name,link,star,review,address
mood tatemachi髪質改善カラー&ショート【ムード タテマチ カミシツカイゼン カラー】,https://beauty.hotpepper.jp/slnH000658911/,4.73,（776件）,石川県金沢市池田町三番丁４２ー２犀光マンション１F
GATTACA,https://beauty.hotpepper.jp/slnH000495411/,4.87,（221件）,石川県金沢市高岡町12-45　ロイヤルシャトー南町　1階　B
LEF【レフ】,https://beauty.hotpepper.jp/slnH000579939/,4.76,（291件）,石川県金沢市竪町１０３　清水ビル２F
Nought 金沢【ノート】,https://beauty.hotpepper.jp/slnH000382917/,4.85,（1082件）,石川県金沢市竪町108番地　シュミートテライビル1Ｆ
TOTAL BEAUTY BREK 金沢もりの里店,https://beauty.hotpepper.jp/slnH000753602/,5.00,（7件）,石川県金沢市田上の里２丁目９　PARIS店舗　１Ｆ　１A号室
Joule 金沢 【ジュール】,https://beauty.hotpepper.jp/slnH000701214/,4.95,（369件）,石川県金沢市竪町１０　金沢山岸ビル２階
Agu hair cardinal 片町店【アグ ヘアー カーディナル】,https://beauty.hotpepper.jp/slnH000360628/,4.83,（825件）,石川県金沢市片町１－１２－２４　竪町コレッジオ１F
ALEXANDRE　OF　COLORS　MORINOSATO,https://beauty.hotpepper.jp/slnH000077976/,4.43,（255件）,石川県金沢市もりの里１－１４９
number+ 竪町【ナンバー タテマチ】,https://beauty.hotpepper.jp/slnH000693331/,4.89,（186件）,石川県金沢市竪町１１１番丹羽ビル２Ｆ
8 HAIR　【エイトヘアー】,https://beauty.hotpepper.jp/slnH000456895/,4.84,（192件）,石川県金沢市竪町８４番地　エスヤビル１F
BOB men’s 金沢【ボブ　メンズ】,https://beauty.hotpepper.jp/slnH000699322/,4.94,（115件）,石川県金沢市片町１－４－１　須田ビル２Ｆ
canvas,https://beauty.hotpepper.jp/slnH000359222/,4.87,（116件）,石川県金沢市竪町115番　神田ビル2F
MEN'S HAIR BLEACHi 金沢店【メンズ ヘア ブリーチ】（旧：BLEACHi 金沢店）,https://beauty.hotpepper.jp/slnH000673616/,4.91,（187件）,石川県金沢市竪町２８－１　生水ビル２Ｆ
EIGHT kanazawa 金沢店 【エイト】,https://beauty.hotpepper.jp/slnH000443189/,4.57,（570件）,石川県金沢市袋町4-22 ファースト・レーベン袋町1F
nambu-SKY【ナンブスカイ】,https://beauty.hotpepper.jp/slnH000291117/,4.46,（147件）,石川県金沢市田上さくら３-1ＧＲ553　2Ｆ
DOA【ドア】,https://beauty.hotpepper.jp/slnH000730915/,4.86,（29件）,石川県金沢市片町１丁目３－３１粟倉ビル２Ｆ
hair salon calm,https://beauty.hotpepper.jp/slnH000548942/,4.76,（41件）,石川県金沢市小立野１丁目７－２０
Agu hair shade もりの里店【アグ ヘアー シェード】,https://beauty.hotpepper.jp/slnH000659811/,4.60,（477件）,石川県金沢市もりの里１－２１４
ＶＩＳＥ 髪質改善 縮毛矯正専門店(旧:ＶＩＳＥ by Art Creative),https://beauty.hotpepper.jp/slnH000218979/,4.84,（97件）,石川県金沢市竪町101-1　宮下ビル2F
HANABUSA 田上店 【ハナブサ】,https://beauty.hotpepper.jp/slnH000291399/,4.65,（401件）,石川県金沢市田上の里２‐９４
Revo　片町店【レボ】,https://beauty.hotpepper.jp/slnH000746968/,4.76,（86件）,石川県金沢市片町１－４－１３　土屋ビル１F
link by vise～髪質改善～【リンクバイビセ】,https://beauty.hotpepper.jp/slnH000597127/,4.73,（83件）,石川県金沢市田上の里１丁目１２３番地
JUDD,https://beauty.hotpepper.jp/slnH000675113/,5.00,（19件）,石川県金沢市鱗町８６-1 ２F
ATLUS 【アトラス】,https://beauty.hotpepper.jp/slnH000454179/,4.94,（40件）,石川県金沢市もりの里１丁目216　ゼフィール森の里
Vａｌｅｎｔｉ　ｊ,https://beauty.hotpepper.jp/slnH000234236/,4.65,（32件）,石川県金沢市田上の里１－40
hair design salon 246,https://beauty.hotpepper.jp/slnH000354294/,4.74,（736件）,石川県金沢市桜町19-19
AUBE HAIR lefeel　金沢店 【オーブ ヘアー レフィール】,https://beauty.hotpepper.jp/slnH000341563/,4.82,（75件）,石川県金沢市安江町１－１　グランドパレス武蔵ヶ辻１F
Ｓｕｎｂａｔｈ　もりの里店,https://beauty.hotpepper.jp/slnH000222346/,4.63,（30件）,石川県金沢市もりの里３丁目20番
AUBE HAIR plus　金沢2号店 【オーブ へアー プラス】,https://beauty.hotpepper.jp/slnH000573621/,4.78,（353件）,石川県金沢市もりの里２－１３３　ロイヤルハイネス
putti 【プッティ】,https://beauty.hotpepper.jp/slnH000297093/,4.87,（114件）,石川県金沢市もりの里３丁目228
Mazim【マジム】,https://beauty.hotpepper.jp/slnH000720593/,,,石川県金沢市笠舞本町１－２－１６
Liberta【リベルタ】,https://beauty.hotpepper.jp/slnH000467375/,4.95,（34件）,石川県金沢市寺町５-6-28
髪質改善特化型サロンHEUREUX HEURE 金沢もりの里店【ウル―ウール】,https://beauty.hotpepper.jp/slnH000744334/,4.90,（30件）,石川県金沢市もりの里３－１９８－１
hair salon b.【ヘアサロン ビー】,https://beauty.hotpepper.jp/slnH000422921/,4.88,（18件）,石川県金沢市菊川１-23-7
hair face Lindo【ヘアーフェイス　リンド】,https://beauty.hotpepper.jp/slnH000330208/,4.80,（45件）,石川県金沢市中央通町7-21　プレジャーＩ　2階
Hair Salon ％,https://beauty.hotpepper.jp/slnH000368114/,5.00,（19件）,石川県金沢市竪町13番地コジマビル2F
